"Data exported from:",http://scotssyntaxatlas.ac.uk/api/v1/csv/attributes
pid,code,pname,pdesc,atname,atdescription,aid,soundclips
43,b10,"PARTICIPLES - IRREGULAR PRETERITE",,"He <b>jamp</b> in after it!",,46
43,b15,"PARTICIPLES - IRREGULAR PRETERITE",,"They <b>telt</b> me to call back later.",,48
43,b16,"PARTICIPLES - IRREGULAR PRETERITE",,"I <b>selt</b> it ages ago.",,49
43,b17,"PARTICIPLES - IRREGULAR PRETERITE",,"I <b>gied</b> him a wee present last year.",,50
43,b18,"PARTICIPLES - IRREGULAR PRETERITE",,"He <b>teached</b> his dog how to shut the door.",,51
43,b19,"PARTICIPLES - IRREGULAR PRETERITE",,"He <b>catched</b> a cold the other day.",,52
43,b2,"PARTICIPLES - IRREGULAR PRETERITE",,"I <b>done</b> that the other day.",,39,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/b2-78.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/b2-252.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/b2-253.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/b2-254.mp3"
43,b20,"PARTICIPLES - IRREGULAR PRETERITE",," He <b>come</b> by the other day.",,53
43,b21,"PARTICIPLES - IRREGULAR PRETERITE",,"He <b>swum</b> the Channel for Children in Need.",,54
43,b4,"PARTICIPLES - IRREGULAR PRETERITE",,"Somebody <b>sung</b> that at the karaoke last week.",,40
43,b8,"PARTICIPLES - IRREGULAR PRETERITE",,"That one <b>costit</b> me a tenner.",,44
43,b9,"PARTICIPLES - IRREGULAR PRETERITE",,"I <b>hut</b> my head on the shelf.",,45
2,a39,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm wanting</b> to be at the station for one.",,22,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/a39-223.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a39-255.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a39-256.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a39-257.mp3"
2,a40,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm needing</b> a cup of tea after that.",,258,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/a40-30.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a40-258.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a40-259.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a40-260.mp3"
